performance_score,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
0.75,0.0,2175571.0,201717.0,496671.0,0.0,1006001.0,1270070.0,Food & Hospitality,mobile
0.62,2700.0,1999537.0,208586.0,496671.0,0.0,887907.0,1085958.0,Food & Hospitality,mobile
0.5,2830.0,2175676.0,247587.0,456084.0,0.0,1005564.0,1269034.0,Food & Hospitality,mobile
0.61,2550.0,1797861.0,146947.0,496671.0,0.0,525192.0,946549.0,Food & Hospitality,mobile
0.59,2550.0,2086275.0,158968.0,456084.0,0.0,1004186.0,1268916.0,Food & Hospitality,mobile
0.65,2860.0,1916569.0,121796.0,456084.0,0.0,643493.0,1130310.0,Food & Hospitality,mobile
0.57,0.0,2727095.0,733855.0,0.0,0.0,747601.0,1768200.0,Food & Hospitality,mobile
0.3,2400.0,3041932.0,134842.0,113967.0,0.0,838823.0,2012473.0,Food & Hospitality,mobile
0.45,1670.0,3957164.0,2556451.0,286342.0,300.0,361312.0,699668.0,Food & Hospitality,mobile
0.32,450.0,4838563.0,1732521.0,1035194.0,600.0,572396.0,2208278.0,Food & Hospitality,mobile
0.62,0.0,4771738.0,3480764.0,377627.0,1500.0,397743.0,3300950.0,Food & Hospitality,mobile
0.62,1800.0,4351374.0,2911727.0,513118.0,900.0,385127.0,765118.0,Food & Hospitality,mobile
0.69,0.0,3398940.0,2213562.0,259345.0,1180.0,385470.0,87301.0,Food & Hospitality,mobile
0.5,1520.0,14385217.0,13079206.0,377676.0,910.0,382806.0,10679901.0,Food & Hospitality,mobile
0.62,0.0,9383447.0,8277211.0,259344.0,1200.0,328313.0,6065450.0,Food & Hospitality,mobile
0.36,450.0,5826985.0,3156037.0,909667.0,1210.0,588346.0,2198804.0,Food & Hospitality,mobile
1.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,Food & Hospitality,mobile
